Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,16113,2023-03-10,-0.037651043,-0.020364398,-0.019929703,21,100
Market-Adjusted Model,16114,2023-03-10,-0.046316443,-0.029580373,-0.028595104,21,100
Market-Adjusted Model,16115,2023-03-10,0.0171214626,0.0336128235,0.0348428022,21,100
Market-Adjusted Model,16119,2023-03-10,-0.062324994,-0.040309547,-0.044603655,21,100
Market-Adjusted Model,16120,2023-03-10,-0.19758064,-0.200122766,-0.1798593,21,100
Market-Adjusted Model,16122,2023-03-10,-0.02076774,-0.003152971,-0.003046401,21,100
Market-Adjusted Model,16123,2023-03-10,-0.040138689,-0.023398551,-0.022417349,21,100
Market-Adjusted Model,16126,2023-03-10,-0.036006972,-0.016386189,-0.018285633,21,100
Market-Adjusted Model,16128,2023-03-10,0.0135423282,0.0312345438,0.0312636678,21,100
Market-Adjusted Model,16130,2023-03-10,-0.024804053,-0.006953675,-0.007082714,21,100
Market-Adjusted Model,16131,2023-03-10,-0.010423074,0.0072807759,0.0072982659,21,100
Market-Adjusted Model,16132,2023-03-10,-0.01892663,-0.001259435,-0.00120529,21,100
Market-Adjusted Model,16135,2023-03-10,-0.012143059,0.0056115905,0.0055782808,21,100
Market-Adjusted Model,16136,2023-03-10,-0.172926501,-0.167184081,-0.155205161,21,100
Market-Adjusted Model,16139,2023-03-10,-0.060059588,-0.041522312,-0.042338249,21,100
Market-Adjusted Model,16140,2023-03-10,-0.052550465,-0.025231382,-0.034829125,21,100
Market-Adjusted Model,16143,2023-03-10,-0.088459308,-0.073349394,-0.070737968,21,100
Market-Adjusted Model,16145,2023-03-10,-0.280400521,-0.30006233,-0.262679182,21,100
Market-Adjusted Model,16146,2023-03-10,-0.131455432,-0.112073965,-0.113734093,21,100
Market-Adjusted Model,16156,2023-03-10,0.1988817659,0.2044628677,0.2166031055,21,100
Market-Adjusted Model,16161,2023-03-10,-0.054727255,-0.005199714,-0.037005915,21,100
Market-Adjusted Model,16164,2023-03-10,-0.241237085,-0.144056762,-0.223515745,21,100
Market-Adjusted Model,16166,2023-03-10,-0.011150362,0.00667372,0.0065709781,21,100
